FSC-A,SSC-A,Alexa_488-A,PI-A
165644,87556.6,6094.18,211.588
93173.5,47612.7,42726.7,6379.18
141889,54680.3,6118.55,74.2928
111578,40916.1,1049.54,64.7652
254704,212751,11351.4,586.714
204769,98747.2,3463.92,273.297
144593,70205.4,14703.4,130.659
212485,121059,5141.98,131.017
124525,43312.8,2591.71,97.6986
122724,36795.8,3064.92,73.7971
120718,87103,2197.67,127.933
225127,117572,4289.73,261.181
70167.7,70968.8,74874.7,4484.88
123510,34960.4,3126.05,60.9927
119160,137337,53386.8,7135.77
237416,123303,4085.41,189.67
139329,41496,2217.36,117.249
121191,37079.1,1151.98,37.9174
118194,47594.1,5283.93,28.2246
137786,41309.8,794.558,100.92
132776,61676.1,6357.84,195.094
233265,95130.9,5356.07,224.475
113532,71422.3,3309.03,40.0102
262143,120995,8966.21,299.099
235800,59040,1059.18,154.588
118088,43306.1,2620.07,119.975
106972,179924,111969,15554.7
262143,171571,11892.5,469.245
262143,262143,14852.4,1314.25
200718,87950.2,8543.12,247.441
259327,95994.1,2936.33,322.339
122094,46990.2,3525.05,87.5927
161418,60167.9,5046.29,156.901
183699,100233,4656.1,308.186
122038,41566.5,2427.73,35.0812
140737,67920.4,2343.47,106.29
232893,113904,9097.15,173.451
105460,21019.3,1845.89,14.7869
17940.6,36289.1,1481.45,15.0072
102807,26038.7,3259.05,47.6927
101742,39941.2,3405.13,156.296
114221,71599.2,6477.49,155.745
193092,107995,3353.78,177.746
233867,96707,5991.33,176.067
138199,71695,2047.32,48.7116
47156.6,27331.5,23667.8,4703.66
100991,18053.4,991.58,59.2029
157835,49562.5,1805.83,56.3391
142171,53827.8,3319.08,165.603
139165,69203.9,4618.1,63.0856
49785.1,40615.5,23595.5,3192.08
262143,212696,10228.2,513.743
252345,122263,3535.38,183.832
166135,101160,6992.96,214.562
131060,47837.4,6066.09,159.958
51850.5,262143,12064.2,946.861
158225,155768,2714.8,276.629
124432,43279.5,4392.44,32.0797
256488,88326.6,3595.41,142.142
105840,66619.7,2801.81,177.884
134442,55151.1,3297.33,77.2392
262143,262143,41524.4,607.476
7019.76,10143.9,96.5145,5.75507
262143,179312,1536.93,377.852
252056,91924.3,20857,133.165
219816,80645.9,6172.52,186.283
116011,37524.6,2142.18,84.2884
108196,87295.9,1206.91,206.77
262143,200995,10047.3,540.674
68684.9,28358.3,5440.33,33.5667
210517,137104,4556.28,282.274
223184,119971,6546.88,459.332
167689,64410.6,4521.45,271.507
110949,30841.4,1750.89,33.787
47483.9,262143,4303.22,2267.55
202313,74223.3,4911.36,149.577
160843,108938,6974.65,277.978
192159,145333,103665,4511.51
262143,70482,2737.38,183.832
111301,58195.5,5878.99,169.045
97640.4,43404.6,2006.57,97.1478
256769,114432,8622.97,260.19
260721,194692,12981.8,508.511
262143,262143,45434.1,3072.66
151955,46870.5,7021.46,168.962
7240.64,32377.5,575.92,92.7971
115835,43294.2,1422.11,89.7131
178755,109552,4226.67,200.161
7705.28,27302.2,5958.15,82.2782
6996.88,17001.4,213.406,180.142
259856,109831,10688.6,232.185
262143,262143,93741.2,1794.29
262143,262143,19638.4,1439.92
211357,92049.3,3832.77,149.219
56811,131314,34181,226.101
157362,55312,1845.89,147.787
143962,85675.9,17898.6,138.893
7981.6,10190.5,20712.3,130.494
9335.92,100749,4359.95,662.907
11354.6,12415.6,18423.7,221.033
262143,104034,5608.99,208.972
199013,81269.7,4740.09,199.83
175920,95435.5,9021.83,88.6667
